Region,SalesRep,Month,CustomerRating,ComputerSales,AirConditionerSales,FridgeSales,TelevisionSales,Profit,CustomerSegment,SalesTargetAchieved,ComputerProfit,AirConditionerProfit,FridgeProfit,TelevisionProfit,ComputerDiscount%,AirConditionerDiscount%,FridgeDiscount%,TelevisionDiscount%
North,Charlie,Jan,5,40,5,29,45,39.75,Commercial,Yes,12,2,14.5,11.25,20,1,19,12
West,Alice,Feb,1,56,76,12,32,61.2,Residential,Yes,16.8,30.4,6,8,0,7,14,0
West,Diana,Mar,4,139,54,82,65,120.55,Commercial,No,41.7,21.6,41,16.25,16,9,18,7
West,Bob,Jan,4,105,145,63,38,130.5,Residential,Yes,31.5,58,31.5,9.5,23,14,1,10
East,Bob,Mar,2,86,19,53,77,79.15,Commercial,Yes,25.8,7.6,26.5,19.25,28,8,7,14
South,Eve,Jan,5,119,57,12,11,67.25,Commercial,No,35.7,22.8,6,2.75,20,9,6,5
North,Charlie,Feb,1,78,12,8,10,34.7,Residential,No,23.4,4.8,4,2.5,7,10,7,11
South,Bob,Mar,2,67,78,64,112,111.3,Residential,No,20.1,31.2,32,28,9,8,12,1
West,Alice,Jan,3,115,50,7,59,72.75,Corporate,Yes,34.5,20,3.5,14.75,17,13,14,3
West,Eve,Mar,2,53,73,72,90,103.6,Residential,Yes,15.9,29.2,36,22.5,14,4,11,3
South,Diana,Mar,AK-AK,83,118,65,55,118.35,Residential,No,24.9,47.2,32.5,13.75,19,8,14,8
South,Eve,Mar,1,65,127,58,20,104.3,Residential,Yes,19.5,50.8,29,5,12,3,13,8
South,Diana,Mar,1,180,143,61,81,161.95,Corporate,No,54,57.2,30.5,20.25,26,1,6,4
West,Eve,Jan,1,136,121,65,17,125.95,Corporate,Yes,40.8,48.4,32.5,4.25,29,18,16,11
West,Eve,Feb,1,171,47,91,68,132.6,Commercial,No,51.3,18.8,45.5,17,9,0,4,2
North,Eve,Jan,3,39,999999,61,5,400043.05,Corporate,Yes,11.7,399999.6,30.5,1.25,8,20,19,0
North,Diana,Jan,4,80,25,53,60,75.5,Residential,Yes,24,10,26.5,15,12,0,9,5
West,Diana,Jan,,127,86,52,23,104.25,Corporate,No,38.1,34.4,26,5.75,2,11,18,7
South,Eve,Feb,5,64,61,6,46,58.1,Residential,Yes,19.2,24.4,3,11.5,21,10,17,0
South,Bob,Mar,1,76,78,50,52,92,Residential,No,22.8,31.2,25,13,26,0,9,10
North,Charlie,Mar,3,150,102,34,10,105.3,Residential,No,45,40.8,17,2.5,22,13,1,0
West,Charlie,Mar,1,12,114,53,46,87.2,Commercial,No,3.6,45.6,26.5,11.5,2,10,5,14
North,Charlie,Feb,2,35,119,54,28,92.1,Commercial,No,10.5,47.6,27,7,0,6,2,10
North,Diana,Mar,3,66,46,76,97,100.45,Residential,Yes,19.8,18.4,38,24.25,1,1,18,6
East,Diana,Feb,1,135,72,36,43,98.05,Corporate,Yes,40.5,28.8,18,10.75,10,14,4,6
East,Bob,Mar,2,,74,38,26,,Residential,Yes,,29.6,19,6.5,13,7,6,1
East,Charlie,Mar,,62,82,72,55,28.15,Residential,Yes,18.6,32.8,36,13.75,9,21,6,2
South,Charlie,Jan,3,52,94,45,114,53.2,Residential,Yes,15.6,37.6,22.5,28.5,6,19,9,1
West,Eve,Feb,3,197,115,18,48,155.1,Commercial,Yes,59.1,46,9,12,22,24,0,5
West,Diana,Jan,1,195,116,61,29,152.65,Corporate,Yes,58.5,46.4,30.5,7.25,27,14,10,12
West,Charlie,Jan,2,58,107,55,27,87.45,Residential,Yes,17.4,42.8,27.5,6.75,0,7,6,12
West,Bob,Jan,5,51,149,21,18,142.9,Commercial,Yes,15.3,59.6,10.5,4.5,25,9,5,7
East,Bob,Feb,1,20,23,91,104,164.7,Residential,No,6,9.2,45.5,26,6,18,5,7
South,Charlie,Feb,3,112,74,97,60,72.7,Commercial,Yes,33.6,29.6,48.5,15,14,2,12,14
South,Diana,Mar,1,107,67,43,74,23.9,Corporate,Yes,32.1,26.8,21.5,18.5,25,19,15,0
East,Bob,Jan,AK-AK,155,79,83,106,129.1,Residential,No,46.5,31.6,41.5,26.5,10,13,12,10
South,Eve,Mar,1,94,108,49,69,118.15,Corporate,Yes,28.2,43.2,24.5,17.25,5,8,1,8
East,Bob,Jan,5,109,79,96,74,121.8,Commercial,No,32.7,31.6,48,18.5,26,8,18,10
West,Alice,Feb,5,113,132,56,114,162.2,Residential,No,33.9,52.8,28,28.5,21,20,18,7
East,Alice,Feb,4,189,60,57,21,88.45,Corporate,Yes,56.7,24,28.5,5.25,6,24,18,8
West,Diana,Feb,2,55,26,97,24,102.4,Residential,No,16.5,10.4,48.5,6,6,5,17,12
West,Charlie,Jan,5,53,93,21,102,177.1,Residential,No,15.9,37.2,10.5,25.5,0,7,5,13
North,Diana,Feb,3,31,23,64,3,101.25,Residential,Yes,9.3,9.2,32,0.75,9,10,1,12
East,Diana,Jan,2,190,30,95,104,206.5,Residential,No,57,12,47.5,26,20,7,18,8
North,Diana,Mar,4,196,27,61,95,63.85,Corporate,Yes,58.8,10.8,30.5,23.75,14,11,5,10
East,Diana,Jan,1,123,999999,67,62,400036.5,Commercial,Yes,36.9,399999.6,33.5,15.5,29,9,19,11
East,Eve,Mar,1,134,17,70,105,89.25,Corporate,Yes,40.2,6.8,35,26.25,29,22,14,5
North,Eve,Jan,4,133,70,30,101,184.15,Residential,Yes,39.9,28,15,25.25,7,3,5,2
North,Bob,Mar,2,39,148,20,2,135.4,Residential,Yes,11.7,59.2,10,0.5,23,15,2,0
East,Alice,Feb,3,17,77,28,66,99.4,Residential,No,5.1,30.8,14,16.5,18,19,10,10
South,Diana,Mar,2,107,81,21,103,73.75,Commercial,Yes,32.1,32.4,10.5,25.75,2,5,7,7
West,Bob,Feb,5,66,35,57,113,55.55,Corporate,Yes,19.8,14,28.5,28.25,22,8,17,9
North,Alice,Feb,,120,89,59,42,34.6,Commercial,Yes,36,35.6,29.5,10.5,14,22,16,2
West,Charlie,Mar,5,82,63,8,108,145.8,Residential,No,24.6,25.2,4,27,3,4,18,12
South,Eve,Jan,2,124,45,3,34,-7.8,Corporate,No,37.2,18,1.5,8.5,5,20,18,6
South,Alice,Jan,1,29,116,10,42,125.6,Commercial,No,8.7,46.4,5,10.5,24,23,16,12
South,Charlie,Jan,3,34,100,99,20,120.7,Residential,No,10.2,40,49.5,5,9,5,3,9
North,Alice,Jan,1,28,126,53,97,122.55,Corporate,No,8.4,50.4,26.5,24.25,17,16,6,5
South,Eve,Jan,1,14,109,87,68,201.3,Residential,No,4.2,43.6,43.5,17,15,16,4,2
North,Eve,Feb,3,84,78,90,45,72.65,Residential,No,25.2,31.2,45,11.25,17,24,15,5
South,Bob,Jan,AK-AK,137,136,27,108,209,Residential,Yes,41.1,54.4,13.5,27,5,23,5,11
West,Diana,Feb,,81,103,49,75,76.75,Residential,Yes,24.3,41.2,24.5,18.75,18,21,13,2
West,Alice,Feb,2,164,130,57,42,153.2,Residential,No,49.2,52,28.5,10.5,16,12,19,12
East,Alice,Feb,2,49,142,66,47,90.25,Residential,Yes,14.7,56.8,33,11.75,17,16,1,14
West,Charlie,Mar,1,35,79,85,5,155.85,Residential,Yes,10.5,31.6,42.5,1.25,29,13,17,12
East,Eve,Mar,,,18,95,89,,Commercial,Yes,,7.2,47.5,22.25,12,1,17,13
West,Alice,Feb,4,199,42,12,49,123.75,Corporate,No,59.7,16.8,6,12.25,6,18,12,8
North,Eve,Mar,5,92,144,58,37,37.45,Commercial,Yes,27.6,57.6,29,9.25,19,2,17,12
West,Alice,Jan,,137,49,14,34,80.2,Residential,No,41.1,19.6,7,8.5,11,1,16,0
East,Bob,Jan,3,187,149,35,73,215.45,Residential,No,56.1,59.6,17.5,18.25,1,1,12,12
East,Diana,Feb,3,179,79,73,70,237.3,Residential,No,53.7,31.6,36.5,17.5,26,21,11,7
South,Alice,Jan,2,166,33,19,18,124,Residential,No,49.8,13.2,9.5,4.5,11,6,2,4
North,Eve,Feb,3,176,22,63,78,109.6,Commercial,No,52.8,8.8,31.5,19.5,11,3,6,14
West,Bob,Feb,3,197,24,12,19,13.45,Commercial,Yes,59.1,9.6,6,4.75,23,16,0,3
South,Alice,Jan,3,178,18,33,78,157.6,Commercial,Yes,53.4,7.2,16.5,19.5,3,5,4,0
West,Charlie,Mar,,42,999999,62,40,399983.2,Commercial,Yes,12.6,399999.6,31,10,3,6,0,8
West,Diana,Jan,,106,35,72,17,112.05,Residential,No,31.8,14,36,4.25,17,19,3,12
South,Alice,Jan,4,120,62,19,60,3.3,Residential,No,36,24.8,9.5,15,15,5,0,8
South,Bob,Feb,4,25,108,52,99,196.45,Commercial,No,7.5,43.2,26,24.75,13,8,12,12
South,Charlie,Feb,4,32,132,39,93,28.15,Residential,Yes,9.6,52.8,19.5,23.25,16,19,13,4
South,Bob,Feb,1,144,29,84,42,90.3,Residential,Yes,43.2,11.6,42,10.5,16,3,14,13
South,Bob,Feb,1,35,23,64,81,137.95,Residential,Yes,10.5,9.2,32,20.25,2,4,16,10
West,Charlie,Mar,4,105,140,92,107,151.25,Residential,Yes,31.5,56,46,26.75,5,18,11,8
South,Bob,Mar,4,21,7,82,72,149.1,Residential,Yes,6.3,2.8,41,18,22,9,6,14
North,Charlie,Mar,1,81,90,74,65,179.55,Corporate,Yes,24.3,36,37,16.25,12,17,18,9
East,Alice,Feb,AK-AK,142,149,90,109,218.45,Corporate,No,42.6,59.6,45,27.25,8,14,2,13
South,Charlie,Feb,1,115,146,79,53,191.65,Residential,Yes,34.5,58.4,39.5,13.25,20,24,17,8
South,Charlie,Feb,2,126,13,31,100,100.5,Residential,Yes,37.8,5.2,15.5,25,8,0,3,6
West,Diana,Mar,4,186,98,34,7,188.75,Commercial,No,55.8,39.2,17,1.75,7,4,2,7
South,Charlie,Feb,1,35,143,90,110,202.2,Residential,Yes,10.5,57.2,45,27.5,16,4,11,0
South,Charlie,Jan,1,142,24,82,5,153.45,Residential,Yes,42.6,9.6,41,1.25,15,7,11,3
South,Alice,Jan,2,31,39,13,24,111.4,Residential,Yes,9.3,15.6,6.5,6,15,21,16,9
West,Diana,Feb,4,22,57,98,28,31.4,Residential,Yes,6.6,22.8,49,7,26,21,5,9
South,Eve,Jan,3,165,114,8,62,205.6,Commercial,Yes,49.5,45.6,4,15.5,27,21,14,14
East,Alice,Jan,4,170,140,37,107,225.25,Corporate,Yes,51,56,18.5,26.75,18,19,1,3
West,Alice,Mar,3,116,8,35,17,61.75,Residential,Yes,34.8,3.2,17.5,4.25,23,14,7,11
East,Eve,Feb,1,32,106,20,101,107.25,Residential,Yes,9.6,42.4,10,25.25,15,16,13,8
West,Charlie,Feb,,106,51,39,20,138.7,Residential,Yes,31.8,20.4,19.5,5,24,18,4,2
South,Bob,Mar,1,27,98,15,3,48.55,Residential,No,8.1,39.2,7.5,0.75,13,12,2,14
East,Diana,Jan,,126,52,76,37,149.85,Corporate,Yes,37.8,20.8,38,9.25,19,21,9,11
West,Bob,Jan,3,39,95,92,90,59.2,Commercial,No,11.7,38,46,22.5,13,20,6,9
North,Eve,Feb,,35,88,83,15,100.95,Commercial,Yes,10.5,35.2,41.5,3.75,13,9,10,14
South,Alice,Jan,1,153,72,66,51,48.45,Commercial,Yes,45.9,28.8,33,12.75,13,16,14,9
West,Alice,Mar,3,48,143,3,48,182.1,Corporate,No,14.4,57.2,1.5,12,11,4,1,0
North,Diana,Mar,1,170,129,65,8,160.1,Corporate,Yes,51,51.6,32.5,2,5,17,4,14
West,Alice,Feb,1,,999999,91,13,,Residential,Yes,,399999.6,45.5,3.25,19,16,10,10
North,Alice,Mar,4,185,8,36,48,1.7,Residential,No,55.5,3.2,18,12,12,3,7,4
South,Diana,Mar,2,175,80,12,3,142.25,Commercial,Yes,52.5,32,6,0.75,15,21,12,6
East,Diana,Feb,3,139,77,86,65,215.75,Residential,No,41.7,30.8,43,16.25,8,6,10,11
North,Eve,Mar,1,122,81,9,73,40.75,Corporate,No,36.6,32.4,4.5,18.25,1,24,16,3
West,Alice,Mar,AK-AK,143,52,58,31,56.45,Commercial,Yes,42.9,20.8,29,7.75,21,4,14,8
South,Alice,Mar,4,55,106,82,105,214.15,Corporate,Yes,16.5,42.4,41,26.25,26,7,0,5
North,Eve,Jan,3,59,110,39,118,113.7,Residential,Yes,17.7,44,19.5,29.5,28,7,18,5
West,Charlie,Feb,4,175,81,31,26,44.9,Corporate,No,52.5,32.4,15.5,6.5,2,10,15,2
West,Charlie,Feb,4,115,43,14,81,160.95,Residential,No,34.5,17.2,7,20.25,9,8,18,9
West,Charlie,Feb,5,155,62,19,56,89.8,Corporate,No,46.5,24.8,9.5,14,19,18,12,9
North,Eve,Jan,2,164,23,50,34,26.9,Residential,Yes,49.2,9.2,25,8.5,1,18,3,4
North,Alice,Jan,4,178,92,86,9,148.45,Commercial,No,53.4,36.8,43,2.25,26,8,10,9
North,Eve,Feb,,81,117,28,62,36.6,Commercial,Yes,24.3,46.8,14,15.5,23,22,17,5
East,Eve,Jan,4,83,81,85,115,41.55,Residential,Yes,24.9,32.4,42.5,28.75,9,19,17,13
North,Charlie,Feb,3,26,81,14,13,104.45,Residential,No,7.8,32.4,7,3.25,7,16,9,3
North,Bob,Jan,4,199,32,23,69,123.25,Corporate,Yes,59.7,12.8,11.5,17.25,16,15,16,12
North,Alice,Mar,4,166,70,44,41,92.05,Residential,No,49.8,28,22,10.25,25,6,12,2
East,Charlie,Mar,4,195,14,63,77,172.85,Commercial,Yes,58.5,5.6,31.5,19.25,21,21,13,4
North,Bob,Feb,1,79,130,60,1,77.95,Residential,No,23.7,52,30,0.25,0,2,6,6
West,Bob,Jan,1,159,62,56,89,123.75,Corporate,Yes,47.7,24.8,28,22.25,5,20,9,10
North,Diana,Jan,5,15,146,36,47,72.65,Commercial,Yes,4.5,58.4,18,11.75,6,18,2,5
West,Alice,Mar,2,35,129,9,4,49.6,Residential,Yes,10.5,51.6,4.5,1,14,7,1,1
West,Bob,Mar,4,176,116,37,100,85.7,Residential,Yes,52.8,46.4,18.5,25,17,4,18,0
West,Charlie,Jan,2,149,88,17,63,71.15,Commercial,Yes,44.7,35.2,8.5,15.75,8,5,6,4
East,Diana,Jan,3,108,147,67,52,84.7,Residential,No,32.4,58.8,33.5,13,7,1,4,4
East,Alice,Jan,1,151,100,92,10,89.8,Residential,Yes,45.3,40,46,2.5,24,23,2,11
East,Eve,Jan,1,31,37,27,28,18.6,Commercial,Yes,9.3,14.8,13.5,7,9,24,1,11
North,Charlie,Jan,,60,149,61,6,30.6,Residential,Yes,18,59.6,30.5,1.5,28,18,5,5
West,Bob,Jan,5,160,145,81,27,184.25,Residential,Yes,48,58,40.5,6.75,3,12,13,2
East,Bob,Feb,AK-AK,185,999999,88,12,400201.1,Commercial,No,55.5,399999.6,44,3,19,5,6,0
East,Charlie,Jan,3,113,116,8,62,44.8,Residential,No,33.9,46.4,4,15.5,27,5,1,14
North,Bob,Mar,4,187,148,54,52,241.3,Residential,Yes,56.1,59.2,27,13,7,1,10,3
East,Diana,Feb,4,98,47,81,48,161.7,Residential,Yes,29.4,18.8,40.5,12,0,23,2,3
North,Alice,Jan,3,150,12,90,67,21.55,Commercial,No,45,4.8,45,16.75,7,4,8,9
South,Diana,Mar,1,147,7,23,46,-0.1,Commercial,Yes,44.1,2.8,11.5,11.5,22,10,7,1
East,Bob,Feb,4,192,129,73,97,207.95,Commercial,Yes,57.6,51.6,36.5,24.25,11,10,10,13
South,Eve,Mar,4,18,16,95,74,96.8,Residential,Yes,5.4,6.4,47.5,18.5,22,23,17,7
North,Alice,Jan,,88,88,98,95,89.35,Residential,Yes,26.4,35.2,49,23.75,24,13,0,5
West,Alice,Jan,1,61,20,34,15,-15.95,Residential,Yes,18.3,8,17,3.75,14,12,14,11
East,Charlie,Jan,4,,82,55,71,,Residential,Yes,,32.8,27.5,17.75,12,7,3,2
North,Charlie,Jan,3,162,63,61,36,122.3,Corporate,No,48.6,25.2,30.5,9,15,14,3,14
West,Eve,Feb,3,22,67,71,14,65.4,Residential,Yes,6.6,26.8,35.5,3.5,25,11,9,0
West,Alice,Feb,1,60,53,64,112,136.2,Residential,Yes,18,21.2,32,28,22,2,10,11
South,Eve,Mar,3,195,55,6,78,156,Residential,Yes,58.5,22,3,19.5,17,20,17,10
North,Charlie,Jan,2,43,37,88,3,107.45,Commercial,Yes,12.9,14.8,44,0.75,0,22,14,2
West,Charlie,Mar,2,44,34,20,113,-27.95,Commercial,Yes,13.2,13.6,10,28.25,16,4,2,7
East,Alice,Feb,4,140,80,83,117,231.75,Commercial,No,42,32,41.5,29.25,15,5,6,3
East,Diana,Jan,4,129,19,58,110,73.8,Corporate,Yes,38.7,7.6,29,27.5,22,1,6,2
South,Bob,Jan,3,196,86,26,114,152.7,Residential,No,58.8,34.4,13,28.5,4,7,16,12
West,Charlie,Feb,,79,96,68,67,45.85,Residential,Yes,23.7,38.4,34,16.75,19,4,19,10
North,Charlie,Feb,2,185,27,15,86,138.3,Residential,No,55.5,10.8,7.5,21.5,20,21,15,3
East,Diana,Feb,2,156,98,64,19,126.75,Commercial,Yes,46.8,39.2,32,4.75,9,16,15,10
West,Diana,Feb,4,76,49,56,99,135.15,Commercial,Yes,22.8,19.6,28,24.75,25,1,7,14
West,Eve,Feb,1,112,66,17,76,73.5,Commercial,No,33.6,26.4,8.5,19,5,10,2,3
South,Eve,Jan,AK-AK,82,19,71,54,130.2,Commercial,Yes,24.6,7.6,35.5,13.5,11,3,19,1
East,Bob,Feb,2,125,50,5,69,131.25,Commercial,No,37.5,20,2.5,17.25,9,10,14,3
East,Bob,Jan,1,142,68,39,10,54.8,Corporate,Yes,42.6,27.2,19.5,2.5,21,8,0,10
North,Alice,Jan,5,76,79,39,105,1.15,Commercial,No,22.8,31.6,19.5,26.25,16,5,9,11
East,Eve,Feb,2,148,56,5,33,85.55,Commercial,No,44.4,22.4,2.5,8.25,1,23,1,8
North,Charlie,Feb,3,130,999999,65,13,399999.35,Residential,No,39,399999.6,32.5,3.25,18,1,6,3
East,Eve,Jan,1,103,61,37,99,80.55,Commercial,Yes,30.9,24.4,18.5,24.75,19,14,13,11
South,Charlie,Feb,4,138,87,54,51,121.95,Corporate,Yes,41.4,34.8,27,12.75,5,4,15,0
East,Diana,Feb,2,100,70,89,32,78.5,Residential,No,30,28,44.5,8,27,11,14,0
North,Eve,Feb,4,101,24,30,75,69.65,Commercial,No,30.3,9.6,15,18.75,27,12,6,0
North,Diana,Mar,3,72,37,96,112,41.4,Commercial,No,21.6,14.8,48,28,26,16,12,13
South,Bob,Jan,1,38,76,20,102,-15.7,Residential,Yes,11.4,30.4,10,25.5,12,3,9,4
East,Bob,Mar,3,21,29,38,24,-20.1,Commercial,No,6.3,11.6,19,6,8,9,8,5
East,Alice,Feb,1,86,50,35,35,160.05,Residential,Yes,25.8,20,17.5,8.75,11,0,8,11
South,Eve,Mar,3,50,77,66,83,79.55,Corporate,Yes,15,30.8,33,20.75,17,10,5,5
East,Diana,Feb,2,139,102,28,70,121,Corporate,Yes,41.7,40.8,14,17.5,7,15,11,5
East,Charlie,Mar,,46,61,50,40,37.2,Residential,Yes,13.8,24.4,25,10,24,10,19,8
North,Bob,Feb,1,182,91,42,54,91.5,Residential,No,54.6,36.4,21,13.5,17,8,19,0
East,Bob,Mar,4,185,137,19,109,220.05,Commercial,Yes,55.5,54.8,9.5,27.25,24,1,13,9
East,Charlie,Mar,1,33,59,42,44,54.5,Residential,No,9.9,23.6,21,11,22,6,19,5
South,Diana,Mar,2,108,65,9,62,72.4,Residential,Yes,32.4,26,4.5,15.5,24,18,6,12
South,Diana,Jan,3,159,93,59,106,111.9,Commercial,Yes,47.7,37.2,29.5,26.5,21,17,7,7
West,Eve,Mar,,109,12,10,99,9.25,Residential,Yes,32.7,4.8,5,24.75,1,19,7,7
North,Eve,Jan,2,148,20,58,68,184.4,Residential,Yes,44.4,8,29,17,7,6,7,11
East,Alice,Feb,1,67,120,33,33,37.85,Corporate,Yes,20.1,48,16.5,8.25,9,22,1,14
East,Bob,Mar,AK-AK,,65,61,77,,Corporate,No,,26,30.5,19.25,8,8,13,14
West,Eve,Feb,1,38,19,60,56,87,Commercial,No,11.4,7.6,30,14,27,11,9,2
East,Diana,Feb,1,172,135,14,36,183.6,Corporate,Yes,51.6,54,7,9,23,2,17,12
North,Charlie,Mar,3,152,106,50,54,64.5,Residential,Yes,45.6,42.4,25,13.5,17,22,17,4
West,Diana,Jan,1,69,58,33,107,37.15,Residential,Yes,20.7,23.2,16.5,26.75,7,21,17,9
North,Bob,Mar,1,104,18,85,19,-11.35,Residential,No,31.2,7.2,42.5,4.75,18,15,15,3
West,Diana,Feb,4,51,40,65,43,94.55,Commercial,Yes,15.3,16,32.5,10.75,2,6,19,11
West,Alice,Feb,2,52,109,76,12,79.2,Corporate,Yes,15.6,43.6,38,3,8,22,4,0
South,Bob,Mar,1,83,86,41,11,58.55,Commercial,Yes,24.9,34.4,20.5,2.75,12,4,19,8
North,Charlie,Jan,2,186,71,78,70,218.7,Corporate,No,55.8,28.4,39,17.5,8,24,4,4
East,Alice,Jan,4,169,999999,22,12,400096.3,Commercial,Yes,50.7,399999.6,11,3,24,22,19,1
East,Bob,Feb,2,73,53,50,91,44.85,Residential,Yes,21.9,21.2,25,22.75,19,6,9,11
North,Charlie,Feb,3,11,115,73,41,15.05,Residential,No,3.3,46,36.5,10.25,11,18,16,1
East,Alice,Jan,1,161,69,56,25,161.15,Residential,No,48.3,27.6,28,6.25,29,16,12,10
East,Alice,Mar,3,75,61,80,106,176.4,Residential,No,22.5,24.4,40,26.5,22,15,16,6
North,Bob,Feb,2,175,31,77,3,37.15,Commercial,Yes,52.5,12.4,38.5,0.75,12,20,17,3
West,Eve,Jan,4,40,117,73,3,117.05,Residential,No,12,46.8,36.5,0.75,7,23,12,0
North,Alice,Feb,5,124,137,31,84,136.5,Commercial,No,37.2,54.8,15.5,21,14,20,16,4
West,Alice,Mar,4,35,75,76,28,110.5,Commercial,No,10.5,30,38,7,28,18,14,1
East,Charlie,Jan,2,38,87,95,23,52.45,Residential,No,11.4,34.8,47.5,5.75,12,24,11,14
East,Diana,Feb,2,87,61,75,48,161,Residential,No,26.1,24.4,37.5,12,20,17,9,6
East,Bob,Mar,2,34,124,50,67,145.55,Residential,Yes,10.2,49.6,25,16.75,12,18,12,14
South,Bob,Feb,1,57,97,76,42,136.4,Residential,Yes,17.1,38.8,38,10.5,16,3,10,8
West,Eve,Mar,1,74,19,85,88,82.3,Corporate,No,22.2,7.6,42.5,22,14,0,2,12
South,Eve,Mar,4,190,115,58,107,203.75,Residential,Yes,57,46,29,26.75,24,3,9,0
South,Bob,Jan,AK-AK,76,105,97,40,205.3,Commercial,Yes,22.8,42,48.5,10,21,3,10,11
North,Eve,Mar,3,99,123,19,6,41.9,Corporate,Yes,29.7,49.2,9.5,1.5,18,8,5,1
South,Charlie,Feb,3,155,80,11,20,38,Corporate,No,46.5,32,5.5,5,2,7,0,10
North,Bob,Mar,3,146,24,99,11,76.65,Corporate,Yes,43.8,9.6,49.5,2.75,13,1,5,5
North,Eve,Mar,1,47,135,36,96,182.1,Residential,No,14.1,54,18,24,29,22,4,7
South,Bob,Jan,5,96,77,47,27,129.85,Residential,No,28.8,30.8,23.5,6.75,9,5,6,6
West,Diana,Mar,1,158,126,90,21,63.05,Residential,Yes,47.4,50.4,45,5.25,16,22,11,8
West,Alice,Mar,4,74,45,11,108,-15.3,Residential,Yes,22.2,18,5.5,27,28,10,11,13
West,Bob,Feb,4,158,134,9,112,52.5,Corporate,Yes,47.4,53.6,4.5,28,7,3,6,1
West,Alice,Jan,4,36,27,18,114,24.1,Commercial,Yes,10.8,10.8,9,28.5,17,13,1,11
West,Eve,Jan,3,115,27,21,13,5.05,Residential,Yes,34.5,10.8,10.5,3.25,11,20,0,8
South,Alice,Jan,1,132,148,8,86,170.3,Residential,Yes,39.6,59.2,4,21.5,16,21,17,3
South,Bob,Mar,2,53,13,13,35,108.35,Residential,No,15.9,5.2,6.5,8.75,22,8,11,10
East,Diana,Jan,4,109,17,78,47,154.25,Commercial,Yes,32.7,6.8,39,11.75,29,1,6,14
West,Eve,Mar,2,37,55,63,86,107.1,Commercial,No,11.1,22,31.5,21.5,10,24,18,2
South,Bob,Mar,5,,999999,44,28,,Corporate,Yes,,399999.6,22,7,8,0,2,6
East,Eve,Feb,2,26,56,15,21,-52.05,Corporate,No,7.8,22.4,7.5,5.25,21,3,9,4
West,Charlie,Feb,2,136,42,14,110,5.1,Residential,Yes,40.8,16.8,7,27.5,23,11,10,12
North,Alice,Feb,2,132,104,87,18,160.2,Residential,No,39.6,41.6,43.5,4.5,23,4,4,4
East,Charlie,Feb,2,177,55,76,31,105.85,Residential,No,53.1,22,38,7.75,24,8,1,11
South,Bob,Feb,3,140,141,22,60,206.4,Residential,No,42,56.4,11,15,22,21,7,12
North,Diana,Mar,4,85,145,52,110,198,Corporate,Yes,25.5,58,26,27.5,24,3,13,1
North,Eve,Mar,4,55,59,38,37,-5.65,Commercial,No,16.5,23.6,19,9.25,14,15,7,5
North,Alice,Jan,5,167,113,94,21,53.55,Commercial,Yes,50.1,45.2,47,5.25,8,1,5,5
East,Eve,Mar,5,78,48,90,14,121.1,Residential,Yes,23.4,19.2,45,3.5,11,15,0,11
South,Bob,Mar,AK-AK,146,114,71,89,221.15,Residential,Yes,43.8,45.6,35.5,22.25,10,15,0,3
North,Eve,Feb,1,94,132,39,91,24.25,Residential,Yes,28.2,52.8,19.5,22.75,16,20,7,4
West,Alice,Mar,4,20,109,14,104,61.6,Commercial,Yes,6,43.6,7,26,5,23,10,6
North,Bob,Feb,2,78,14,42,60,117,Commercial,No,23.4,5.6,21,15,27,23,17,13
